排名,学校名称,软科总得分
248,华北水利水电大学,157.6
249,上海应用技术大学,kL
250,西安石油大学,kL
251,山西师范大学,155.9
252,郑州轻工业大学,155.6
253,东北电力大学,155.5
254,贵州师范大学,155.4
255,大连大学,155.1
256,辽宁石油化工大学,155
257,西华师范大学,154.9
258,北京农学院,154.7
259,南京工程学院,154.2
260,安徽工程大学,153.8
261,浙大城市学院,153.7
262,沈阳师范大学,153.5
263,大连交通大学,153.2
264,成都信息工程大学,153
265,上海海关学院,152.3
266,西安工程大学,152
267,桂林理工大学,la
268,江汉大学,la
269,沈阳理工大学,150.9
270,安徽建筑大学,150.5
271,湖南工业大学,149.9
272,绍兴文理学院,149.6
273,厦门理工学院,149
274,辽宁工程技术大学,lg
275,浙大宁波理工学院,lg
276,北京印刷学院,148.4
277,内蒙古工业大学,147.4
278,北京石油化工学院,147.2
279,华北理工大学,147
280,常熟理工学院,146.4
281,延安大学,146.2
282,中国民航大学,145.5
283,黑龙江八一农垦大学,lo
284,中原工学院,lo
285,辽宁科技大学,144.5
286,沈阳大学,143.9
287,合肥大学,143.8
288,北华大学,143.5
289,新疆农业大学,143.3
290,北京联合大学,143
291,闽江学院,142.5
292,辽宁工业大学,141.8
293,宁波工程学院,141.3
294,河北工程大学,141.1
295,盐城工学院,lz
296,云南农业大学,lz
297,太原科技大学,140.6
298,吉首大学,140.4
299,重庆科技大学,139.9
300,广东海洋大学,139.7
301,大连海洋大学,139.6
302,淮阴工学院,138.9
303,内蒙古科技大学,138.5
304,台州学院,138.1
305,塔里木大学,lJ
306,信阳师范大学,lJ
307,西华大学,137.3
308,湖南理工学院,137.1
309,大理大学,136.7
310,景德镇陶瓷大学,lN
311,新疆师范大学,lN
312,吉林师范大学,136
313,长春师范大学,135.8
314,西南林业大学,135.5
315,长江师范学院,lR
316,盐城师范学院,lR
317,江苏理工学院,lS
318,闽南师范大学,lS
319,淮阴师范学院,134.7
320,福建理工大学,134.5
321,河北地质大学,lV
322,淮北师范大学,lV
323,南宁师范大学,134.2
324,贵州师范学院,133.9
325,常州工学院,133.7
326,上海第二工业大学,132.8
327,天津城建大学,132.3
328,广东技术师范大学,dN
329,上海电机学院,dN
330,徐州工程学院,dN
331,湖北师范大学,l$
332,江苏海洋大学,l$
333,吉林建筑大学,131.3
334,安庆师范大学,mb
335,长沙学院,mb
336,南昌工程学院,dO
337,山东交通学院,dO
338,五邑大学,dO
339,河南科技学院,130.6
340,江西科技师范大学,130
341,井冈山大学,129.7
342,重庆文理学院,mg
343,浙江万里学院,mg
344,湖南第一师范学院,mh
345,陕西理工大学,mh
346,洛阳师范学院,127.7
347,天津职业技术师范大学,mj
348,仲恺农业工程学院,mj
349,衡阳师范学院,126.6
350,临沂大学,ml
351,天津农学院,ml
352,南京晓庄学院,126.3
353,黄冈师范学院,126.2
354,四川轻化工大学,126
355,长春大学,125.1
356,长春工程学院,mq
357,无锡学院,mq
358,安徽科技学院,124.4
359,金陵科技学院,124.1
360,岭南师范学院,123.9
361,惠州学院,123.8
362,西藏农牧学院,123.5
363,衢州学院,123.2
364,铜仁学院,123.1
365,湖北第二师范学院,my
366,齐齐哈尔大学,my
367,合肥师范学院,122.7
368,绵阳师范学院,122.5
369,广西科技大学,122
370,攀枝花学院,121.7
371,榆林学院,121.2
372,内江师范学院,121.1
373,湖北汽车工业学院,mF
374,山东航空学院,mF
375,泰山学院,120.8
376,湖北文理学院,mH
377,三明学院,mH
378,重庆三峡学院,120.6
379,丽水学院,120.5
380,潍坊学院,120.2
381,泉州师范学院,120.1
382,黑龙江科技大学,119.8
383,防灾科技学院,119.6
384,西安文理学院,119.5
385,湖北科技学院,119.1
386,宝鸡文理学院,dP
387,龙岩学院,dP
388,南阳师范学院,dP
389,湖南文理学院,dQ
390,通化师范学院,dQ
391,湘南学院,dQ
392,广东石油化工学院,117.6
393,北华航天工业学院,dR
394,怀化学院,dR
395,佳木斯大学,dR
396,河北科技师范学院,mR
397,渭南师范学院,mR
398,阜阳师范大学,117.3
399,德州学院,mT
400,玉林师范学院,mT
401,南阳理工学院,117
402,滁州学院,dS
403,江苏第二师范学院,dS
404,曲靖师范学院,dS
405,莆田学院,116.3
406,贵阳学院,mW
407,枣庄学院,mW
408,湖北理工学院,115.7
409,湖南城市学院,mY
410,湖南工程学院,mY
411,湖南科技学院,115.3
412,广东第二师范学院,115.1
413,太原师范学院,m$
414,周口师范学院,m$
415,北部湾大学,na
416,浙江水利水电学院,na
417,肇庆学院,114.7
418,韩山师范学院,114.6
419,宿迁学院,114.4
420,河南城建学院,114.2
421,中国民用航空飞行学院,114.1
422,咸阳师范学院,113.8
423,黑龙江工程学院,113.4
424,安阳师范学院,ni
425,唐山师范学院,ni
426,皖西学院,113.1
427,齐鲁师范学院,112.8
428,成都师范学院,nl
429,河南工程学院,nl
430,哈尔滨学院,nm
431,上饶师范学院,nm
432,贵州理工学院,nn
433,牡丹江师范学院,nn
434,昆明学院,111.6
435,宜宾学院,111.2
436,重庆第二师范学院,111.1
437,商丘师范学院,111
438,湖南人文科技学院,110.8
439,黄淮学院,110.6
440,长治学院,110.4
441,湖北工程学院,nv
442,平顶山学院,nv
443,乐山师范学院,cq
444,温州理工学院,cq
445,西昌学院,cq
446,遵义师范学院,cq
447,信阳农林学院,nw
448,宜春学院,nw
449,天水师范学院,nx
450,营口理工学院,nx
451,商洛学院,109.5
452,兰州石化职业技术大学,109.2
453,宁德师范学院,108.8
454,邵阳学院,108.7
455,海南热带海洋学院,108.5
456,洛阳理工学院,nD
457,玉溪师范学院,nD
458,成都工业学院,107.8
459,安阳工学院,107.7
460,四川旅游学院,107.6
461,九江学院,107.5
462,鞍山师范学院,107.3
463,山东女子学院,107.1
464,内蒙古科技大学包头师范学院,107
465,赤峰学院,dT
466,淮南师范学院,dT
467,湖南工学院,dT
468,贺州学院,nL
469,吉林化工学院,nL
470,河西学院,106.4
471,南昌师范学院,106.3
472,许昌学院,106.1
473,吉林农业科技学院,105.3
474,河北建筑工程学院,105.1
475,河南牧业经济学院,105
476,宁夏师范大学,104.9
477,陇东学院,nT
478,武夷学院,nT
479,运城学院,104.5
480,安康学院,104.4
481,宿州学院,104.2
482,山东管理学院,104.1
483,黄山学院,103.7
484,泰州学院,103.2
485,巢湖学院,dU
486,喀什大学,dU
487,陕西学前师范学院,dU
488,辽东学院,n_
